model_name,task,source,target,dataset,bleu,ter,chrf,comet,comet_kiwi,bleurt,xcomet,metricx,metricx_qe,file_name
salamandra2B,es_ca_flores_dev,es,ca,flores_dev,11.418507889252878,92.68920542303071,40.57352883095236,0.750854768030861,0.7322156663345118,0.5565934427747635,0.731245267418855,4.092397373251863,6.297015835253621,results_es_ca_flores_dev.json
nllb_3.3B,en_es_nonce_hb,en,es,nonce_hb,,,,,,,,,,results_en_es_nonce_hb.json
nllb_3.3B,en_ca_must_she,en,ca,must_she,55.71769981536027,32.050238811250665,73.9454084665035,0.8710077867268375,0.8340327868906505,0.7782730875688306,0.8831551556096693,2.5852402244084045,2.2052048303400786,results_en_ca_must_she.json
nllb_3.3B,en_es_race_ethnicity_hb,en,es,race_ethnicity_hb,,,,,,,,,,results_en_es_ethnicity_hb.json
nllb_3.3B,en_it_flores_dev,en,it,flores_dev,29.87570769466413,56.182561782109296,58.74228973787723,0.882548692383044,0.8653923271293028,0.7924186836931866,0.9417976584274288,1.2054481409880573,1.3293152359223652,results_en_it_flores_dev.json
nllb_3.3B,en_es_political_ideologies_hb,en,es,political_ideologies_hb,,,,,,,,,,results_en_es_political_ideologies_hb.json
nllb_3.3B,en_es_flores_dev,en,es,flores_dev,27.592333013062206,57.28675611426729,55.23529926840703,0.8593848590685826,0.8585032699639006,0.7565123586651076,0.9479538377751797,1.3041116680292302,1.3718354709207294,results_en_es_flores_dev.json
nllb_3.3B,en_es_ability_hb,en,es,ability_hb,,,,,,,,,,results_en_es_ability_hb.json
nllb_3.3B,en_es_characteristics_hb,en,es,characteristics_hb,,,,,,,,,,results_en_es_characteristics_hb.json
nllb_3.3B,en_gl_flores_dev,en,gl,flores_dev,34.455158310841384,48.739903782495475,60.14375988683685,0.8655678358156917,0.8409591700392238,0.7207993333682852,0.9313746122652693,1.8881769584026655,1.962871697939626,results_en_gl_flores_dev.json
nllb_3.3B,en_ca_perturbations,en,ca,perturbations,"{'swap': [41.39, 34.57, 27.91, 20.94, 13.2], 'chardupe': [41.4, 39.01, 36.86, 35.22, 33.08], 'chardrop': [41.4, 34.32, 26.14, 19.64, 12.55]}","{'swap': [44.85, 52.26, 59.72, 70.13, 84.34], 'chardupe': [44.83, 47.42, 49.38, 51.44, 54.45], 'chardrop': [44.83, 51.33, 59.22, 68.74, 78.19]}",,"{'swap': [0.87, 0.82, 0.77, 0.69, 0.6], 'chardupe': [0.87, 0.86, 0.85, 0.84, 0.83], 'chardrop': [0.87, 0.82, 0.77, 0.7, 0.6]}",,,,,,results_en_ca_perturbations.json
nllb_3.3B,en_es_age_hb,en,es,age_hb,,,,,,,,,,results_en_es_age_hb.json
nllb_3.3B,en_es_nationality_hb,en,es,nationality_hb,,,,,,,,,,results_en_es_nationality_hb.json
nllb_3.3B,en_es_gender_and_sex_hb,en,es,gender_and_sex_hb,,,,,,,,,,results_en_es_gender_and_sex_hb.json
nllb_3.3B,en_es_cultural_hb,en,es,cultural_hb,,,,,,,,,,results_en_es_cultural_hb.json
nllb_3.3B,es_en_flores_dev,es,en,flores_dev,32.69132671761654,55.621838312494035,61.09987979656712,0.8726833537146225,0.858129379562772,0.7731764708891317,0.9646845429448211,1.3102511595579662,1.4052689891409431,results_es_en_flores_dev.json
nllb_3.3B,ca_en_flores_dev,ca,en,flores_dev,49.390317717351294,37.65868092011072,71.12887452271531,0.889425367834336,0.8612590174498027,0.8002264916358764,0.9649298555454017,1.2559648346129726,1.3092704983979255,results_ca_en_flores_dev.json
nllb_3.3B,it_en_flores_dev,it,en,flores_dev,35.89890818429515,52.75842321275174,63.596733860124665,0.8812819649666219,0.8656152227039682,0.7828643353825945,0.9702350207293404,1.19585234917506,1.2529240061968954,results_it_en_flores_dev.json
nllb_3.3B,en_es_mmhb_devtest,en,es,mmhb_devtest,,,,,,,,,,results_en_es_mmhb_devtest.json
nllb_3.3B,en_es_religion_hb,en,es,religion_hb,,,,,,,,,,results_en_es_religion_hb.json
nllb_3.3B,gl_en_flores_dev,gl,en,flores_dev,43.690518079339554,41.40975470077312,68.21076512379784,0.8853035119615323,0.8569614391329295,0.7925306708367921,0.9640284129525857,1.23683783927243,1.17465094437705,results_gl_en_flores_dev.json
nllb_3.3B,en_ca_flores_dev,en,ca,flores_dev,40.538460783238605,44.99742577655741,64.51280552681186,0.8686039359901948,0.8416963898489922,0.7684062449420347,0.9220554567686653,1.9697477600538174,1.9419602814131418,results_en_ca_flores_dev.json
nllb_3.3B,en_es_body_type_hb,en,es,body_type_hb,,,,,,,,,,results_en_es_body_type_hb.json
madlad400_3B,en_ca_must_she,en,ca,must_she,58.78783324127864,29.485229081903412,76.12607017478712,0.8765554401863135,0.8388933727045379,0.7909643054008484,0.8928823411607286,2.485526024421864,2.0123675787420363,results_en_ca_must_she.json
madlad400_3B,en_it_flores_dev,en,it,flores_dev,30.677077123919723,55.747476505395056,59.81879892524687,0.8857769952375169,0.8693728036244391,0.7953509907485729,0.9436214362965185,0.920835560566018,0.9146766940070131,results_en_it_flores_dev.json
madlad400_3B,en_es_flores_dev,en,es,flores_dev,27.880859222801334,57.09738506789154,55.78157610469031,0.8644328181339482,0.863800121376005,0.7603237165012953,0.9501984020771689,1.0278883944961468,0.9283627486837245,results_en_es_flores_dev.json
madlad400_3B,en_gl_flores_dev,en,gl,flores_dev,37.18404763330591,46.003442644657284,62.63318843487809,0.8766769970969905,0.8560222955261813,0.7372404772754658,0.9410056099968186,1.0194343047621945,0.8866208484592505,results_en_gl_flores_dev.json
madlad400_3B,en_ca_perturbations,en,ca,perturbations,"{'swap': [44.05, 37.03, 30.49, 22.05, 10.1], 'chardupe': [44.07, 41.28, 39.03, 37.74, 34.21], 'chardrop': [44.07, 36.91, 29.91, 22.53, 13.17]}","{'swap': [42.24, 48.39, 55.18, 67.61, 95.27], 'chardupe': [42.23, 44.67, 46.55, 48.31, 53.0], 'chardrop': [42.23, 48.07, 54.72, 63.58, 79.5]}",,"{'swap': [0.88, 0.84, 0.8, 0.74, 0.63], 'chardupe': [0.88, 0.87, 0.87, 0.86, 0.84], 'chardrop': [0.88, 0.84, 0.8, 0.74, 0.65]}",,,,,,results_en_ca_perturbations.json
madlad400_3B,es_en_flores_dev,es,en,flores_dev,32.278559229997285,55.125513028538705,61.38449323492039,0.8751036747766952,0.8605805783716582,0.7761146877570042,0.9639339649988153,1.2091413951117391,1.1045592530754766,results_es_en_flores_dev.json
madlad400_3B,ca_en_flores_dev,ca,en,flores_dev,49.543561083605475,36.594444974706505,71.80533786231983,0.8937981926808983,0.8650334855857321,0.8061250807528749,0.9698705763491609,1.0580315092240378,0.9826786151135278,results_ca_en_flores_dev.json
madlad400_3B,it_en_flores_dev,it,en,flores_dev,35.37071252677709,52.31936623079125,63.81160427333267,0.8831945096956213,0.8682044072519454,0.7839940418092274,0.9712501947535436,1.0856603031254999,0.9529312205993185,results_it_en_flores_dev.json
madlad400_3B,en_es_mmhb_devtest,en,es,mmhb_devtest,,,,,,,,,,results_en_es_mmhb_devtest.json
madlad400_3B,gl_en_flores_dev,gl,en,flores_dev,43.82279919494402,40.86093347332251,68.61797991246785,0.8895420686172746,0.8596166323874157,0.7972195563966795,0.9690493677659642,1.112880568073291,0.9017191617044367,results_gl_en_flores_dev.json
madlad400_3B,en_ca_flores_dev,en,ca,flores_dev,42.527141059878026,43.09250042903724,66.78335833454892,0.8805660039873994,0.8575197226604224,0.784478653397938,0.9349604387998341,1.186824031450684,1.0370424811577905,results_en_ca_flores_dev.json
